Month Year,Search for improv: (California),Search improv comedy: (United States),improv comedy: (California)
2004-01,59,82,36
2004-02,52,83,88
2004-03,76,69,46
2004-04,77,73,60
2004-05,93,77,85
2004-06,83,76,71
2004-07,88,100,90
2004-08,84,73,37
2004-09,79,56,51
2004-10,47,78,52
2004-11,65,59,39
2004-12,59,63,71
2005-01,89,89,50
2005-02,91,99,86
2005-03,87,78,39
2005-04,68,68,38
2005-05,86,65,38
2005-06,71,65,45
2005-07,75,70,39
2005-08,86,92,69
2005-09,100,70,55
2005-10,86,62,80
2005-11,66,73,44
2005-12,71,72,61
2006-01,87,93,74
2006-02,90,89,78
2006-03,80,66,51
2006-04,78,66,62
2006-05,76,49,29
2006-06,93,75,100
2006-07,92,89,60
2006-08,89,70,56
2006-09,89,70,56
2006-10,67,54,42
2006-11,91,66,68
2006-12,70,59,63
2007-01,88,69,82
2007-02,77,76,55
2007-03,83,77,59
2007-04,74,59,30
2007-05,63,55,41
2007-06,75,71,57
2007-07,66,59,48
2007-08,69,66,37
2007-09,71,69,55
2007-10,49,53,34
2007-11,69,64,35
2007-12,61,61,42
2008-01,66,68,49
2008-02,63,61,48
2008-03,65,58,46
2008-04,69,45,35
2008-05,56,55,52
2008-06,57,50,47
2008-07,66,64,33
2008-08,57,59,36
2008-09,50,50,31
2008-10,50,47,38
2008-11,50,51,26
2008-12,47,52,32
2009-01,64,60,47
2009-02,60,57,37
2009-03,55,61,30
2009-04,47,49,22
2009-05,52,49,25
2009-06,40,61,21
2009-07,46,58,39
2009-08,45,58,39
2009-09,40,61,34
2009-10,43,67,23
2009-11,40,56,33
2009-12,51,56,28
2010-01,59,72,45
2010-02,50,64,30
2010-03,45,61,28
2010-04,44,45,19
2010-05,43,43,23
2010-06,41,51,26
2010-07,39,44,26
2010-08,46,44,23
2010-09,35,38,13
2010-10,32,33,17
2010-11,35,38,21
2010-12,35,36,14
2011-01,79,48,31
2011-02,73,48,32
2011-03,65,44,43
2011-04,75,44,31
2011-05,64,40,22
2011-06,68,40,30
2011-07,84,45,29
2011-08,72,42,25
2011-09,61,43,27
2011-10,53,39,22
2011-11,51,38,27
2011-12,63,42,22
2012-01,73,44,36
2012-02,70,44,26
2012-03,58,41,28
2012-04,62,36,22
2012-05,62,37,29
2012-06,57,39,31
2012-07,63,42,30
2012-08,58,38,33
2012-09,65,37,24
2012-10,58,33,27
2012-11,53,31,25
2012-12,56,36,21
2013-01,65,39,33
2013-02,62,43,27
2013-03,61,34,33
2013-04,59,39,30
2013-05,59,32,24
2013-06,63,34,25
2013-07,54,37,25
2013-08,57,37,26
2013-09,58,31,26
2013-10,53,30,21
2013-11,49,31,28
2013-12,58,32,26
2014-01,67,35,25
2014-02,65,38,27
2014-03,62,32,23
2014-04,59,27,28
2014-05,59,29,21
2014-06,54,31,20
2014-07,52,31,23
2014-08,56,33,24
2014-09,61,28,19
2014-10,46,28,27
2014-11,50,31,18
2014-12,53,29,20
2015-01,59,40,29
2015-02,58,34,23
2015-03,53,30,22
2015-04,47,28,16
2015-05,47,26,19
2015-06,48,27,17
2015-07,56,35,19
2015-08,50,31,24
2015-09,48,30,20
2015-10,50,32,22
2015-11,50,34,22
2015-12,50,32,29
2016-01,58,38,26
2016-02,51,37,28
2016-03,51,33,27
2016-04,44,31,16
2016-05,45,29,23
2016-06,46,29,17
2016-07,50,32,28
2016-08,48,32,21
2016-09,51,34,21
2016-10,45,27,20
2016-11,42,30,27
2016-12,44,28,26
2017-01,52,37,26
2017-02,56,37,24
2017-03,52,34,24
2017-04,49,31,32
2017-05,54,33,24
2017-06,51,34,28
2017-07,52,39,28
2017-08,50,29,25
2017-09,42,28,25
2017-10,45,30,28
2017-11,45,35,25
2017-12,45,33,24
2018-01,58,40,31
2018-02,56,34,39
2018-03,49,33,26
2018-04,52,31,26
2018-05,46,30,22
2018-06,44,34,30
2018-07,51,37,31
2018-08,56,35,35
2018-09,49,31,22
2018-10,42,30,19
2018-11,44,30,27
2018-12,48,32,22
2019-01,58,38,31
2019-02,63,34,36
2019-03,58,33,33
2019-04,50,28,22
2019-05,54,31,29
2019-06,49,35,27
2019-07,50,33,28
2019-08,50,37,30
2019-09,47,34,27
2019-10,42,31,22
2019-11,45,33,26
2019-12,46,34,25
2020-01,53,39,28
2020-02,52,36,30
2020-03,23,16,11
2020-04,11,5,3
2020-05,8,7,3
2020-06,10,8,3
2020-07,8,8,3
2020-08,9,7,3
